"R0000100","R0173600","R0214700","R0214800","T9900000"
1,5,3,2,12
2,5,3,2,12
3,5,3,2,12
4,5,3,2,14
5,1,3,1,18
6,1,3,1,16
7,1,3,1,12
8,6,3,2,14
9,1,3,1,14
10,6,3,2,9
11,1,3,1,16
12,5,3,2,16
13,1,3,1,16
14,5,3,2,19
15,1,3,1,16
16,5,3,2,13
17,1,3,1,13
18,1,3,1,13
19,5,3,2,12
20,5,3,2,17
21,5,3,2,16
22,5,3,2,16
23,1,3,1,19
24,1,3,1,12
25,5,3,2,14
26,1,3,1,16
27,5,3,2,16
28,5,3,2,13
29,5,3,2,12
30,5,3,2,12
31,4,1,1,12
32,8,1,2,18
33,4,1,1,12
34,1,3,1,13
35,5,3,2,13
36,1,3,1,12
37,5,3,2,12
38,5,3,2,12
39,1,3,1,12
40,2,3,1,14
41,2,3,1,15
42,1,3,1,12
43,6,3,2,12
44,5,3,2,12
45,1,3,1,12
46,5,3,2,19
47,1,3,1,12
48,2,3,1,12
49,5,3,2,14
50,5,3,2,12
51,1,3,1,8
52,1,3,1,14
53,4,1,1,12
54,1,3,1,10
55,1,3,1,12
56,5,3,2,11
57,5,3,2,12
58,5,3,2,17
59,1,3,1,12
60,1,3,1,12
61,5,3,2,14
62,5,3,2,16
63,1,3,1,16
64,1,3,1,13
65,5,3,2,16
66,1,3,1,14
67,1,3,1,18
68,5,3,2,16
69,1,3,1,18
70,1,3,1,18
71,1,3,1,19
72,5,3,2,16
73,1,3,1,18
74,5,3,2,16
75,5,3,2,16
76,1,3,1,14
77,5,3,2,16
78,5,3,2,16
79,1,3,1,18
80,1,3,1,19
81,1,3,1,19
82,3,2,1,12
83,3,2,1,10
84,3,2,1,12
85,3,2,1,11
86,7,2,2,9
87,3,2,1,12
88,3,2,1,16
89,7,2,2,16
90,1,3,1,16
91,5,3,2,16
92,5,3,2,12
93,1,3,1,12
94,1,3,1,10
95,5,3,2,12
96,6,3,2,12
97,5,3,2,14
98,6,3,2,13
99,5,3,2,14
100,5,3,2,12
101,1,3,1,20
102,5,3,2,16
103,1,3,1,18
104,5,3,2,12
105,6,3,2,12
106,1,3,1,16
107,1,3,1,16
108,1,3,1,20
109,5,3,2,12
110,1,3,1,13
111,5,3,2,12
112,5,3,2,12
113,1,3,1,12
114,1,3,1,12
115,5,3,2,16
116,5,3,2,15
117,1,3,1,15
118,5,3,2,9
119,1,3,1,16
120,1,3,1,16
121,5,3,2,17
122,1,3,1,12
123,1,3,1,16
124,5,3,2,15
125,1,3,1,13
126,1,3,1,14
127,1,3,1,12
128,5,3,2,12
129,1,3,1,16
130,6,3,2,13
131,6,3,2,12
132,6,3,2,12
133,5,3,2,12
134,1,3,1,12
135,1,3,1,16
136,5,3,2,12
137,5,3,2,16
138,5,3,2,16
139,1,3,1,15
140,5,3,2,17
141,5,3,2,18
142,1,3,1,12
143,5,3,2,15
144,5,3,2,12
145,1,3,1,12
146,1,3,1,12
147,5,3,2,14
148,1,3,1,12
149,5,3,2,12
150,1,3,1,12
151,5,3,2,12
152,5,3,2,12
153,5,3,2,12
154,5,3,2,8
155,1,3,1,9
156,1,3,1,11
157,5,3,2,20
158,5,3,2,17
159,5,3,2,16
160,5,3,2,14
161,5,3,2,12
162,1,3,1,18
163,1,3,1,16
164,5,3,2,12
165,5,3,2,12
166,1,3,1,13
167,5,3,2,12
168,3,2,1,16
169,7,2,2,14
170,5,3,2,14
171,1,3,1,16
172,6,3,2,9
173,1,3,1,9
174,8,1,2,13
175,5,3,2,14
176,5,3,2,16
177,1,3,1,12
178,1,3,1,16
179,5,3,2,12
180,5,3,2,16
181,1,3,1,12
182,1,3,1,13
183,5,3,2,12
184,5,3,2,16
185,1,3,1,12
186,5,3,2,18
187,1,3,1,15
188,5,3,2,10
189,1,3,1,16
190,5,3,2,18
191,1,3,1,19
192,5,3,2,16
193,1,3,1,16
194,1,3,1,16
195,1,3,1,18
196,1,3,1,18
197,5,3,2,12
198,1,3,1,18
199,1,3,1,12
200,5,3,2,12
201,1,3,1,16
202,1,3,1,14
203,8,1,2,13
204,8,1,2,12
205,8,1,2,12
206,1,3,1,10
207,1,3,1,12
208,6,3,2,12
209,1,3,1,11
210,1,3,1,16
211,5,3,2,16
212,1,3,1,12
213,1,3,1,16
214,1,3,1,16
215,1,3,1,16
216,5,3,2,16
217,1,3,1,10
218,1,3,1,16
219,5,3,2,20
220,5,3,2,20
221,7,2,2,12
222,3,2,1,9
223,3,2,1,12
224,7,2,2,12
225,4,1,1,12
226,4,1,1,13
227,7,2,2,12
228,8,1,2,9
229,5,3,2,12
230,1,3,1,15
231,5,3,2,12
232,1,3,1,14
233,1,3,1,12
234,2,3,1,12
235,1,3,1,15
236,5,3,2,13
237,5,3,2,12
238,6,3,2,12
239,6,3,2,10
